| network_model                | GuideDepth                        |
| silog    | 0.199469  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_69.pth 
| d1       | 0.81251   |
| d2       | 0.901624  |
| d3       | 0.98604   |
| abs_rel  | 0.0977801 |
| sq_rel   | 0.464263  |
| rmse     | 2.72999   |
| rmse_log | 0.208917  |
| log10    | 0.0504313 |
| silog    | 0.199274  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_70.pth 
| d1       | 0.81264   |
| d2       | 0.901629  |
| d3       | 0.98604   |
| abs_rel  | 0.0974732 |
| sq_rel   | 0.464014  |
| rmse     | 2.72962   |
| rmse_log | 0.208809  |
| log10    | 0.0503065 |
| silog    | 0.199069  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_71.pth 
| d1       | 0.812702  |
| d2       | 0.901631  |
| d3       | 0.98604   |
| abs_rel  | 0.09718   |
| sq_rel   | 0.463798  |
| rmse     | 2.72931   |
| rmse_log | 0.208712  |
| log10    | 0.0501874 |
| silog    | 0.198872  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_72.pth 
| d1       | 0.812786  |
| d2       | 0.901631  |
| d3       | 0.98604   |
| abs_rel  | 0.0968874 |
| sq_rel   | 0.463598  |
| rmse     | 2.72903   |
| rmse_log | 0.20862   |
| log10    | 0.0500684 |
| silog    | 0.198687  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_73.pth 
| d1       | 0.812859  |
| d2       | 0.901635  |
| d3       | 0.98604   |
| abs_rel  | 0.096623  |
| sq_rel   | 0.463427  |
| rmse     | 2.72883   |
| rmse_log | 0.208541  |
| log10    | 0.0499614 |
| silog    | 0.198514  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_74.pth 
| d1       | 0.812938  |
| d2       | 0.901637  |
| d3       | 0.98604   |
| abs_rel  | 0.0963974 |
| sq_rel   | 0.463282  |
| rmse     | 2.72868   |
| rmse_log | 0.208472  |
| log10    | 0.0498715 |
| silog    | 0.198346  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_75.pth 
| d1       | 0.813004  |
| d2       | 0.901637  |
| d3       | 0.98604   |
| abs_rel  | 0.0962031 |
| sq_rel   | 0.463154  |
| rmse     | 2.72855   |
| rmse_log | 0.208411  |
| log10    | 0.0497949 |
| silog    | 0.198191  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_76.pth 
| d1       | 0.813061  |
| d2       | 0.901637  |
| d3       | 0.98604   |
| abs_rel  | 0.0960311 |
| sq_rel   | 0.463042  |
| rmse     | 2.72845   |
| rmse_log | 0.208356  |
| log10    | 0.0497265 |
| silog    | 0.198066  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_77.pth 
| d1       | 0.813103  |
| d2       | 0.901638  |
| d3       | 0.98604   |
| abs_rel  | 0.095878  |
| sq_rel   | 0.462945  |
| rmse     | 2.72836   |
| rmse_log | 0.208306  |
| log10    | 0.0496648 |
| silog    | 0.19797   |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_78.pth 
| d1       | 0.813149  |
| d2       | 0.901641  |
| d3       | 0.98604   |
| abs_rel  | 0.095739  |
| sq_rel   | 0.462856  |
| rmse     | 2.72829   |
| rmse_log | 0.208261  |
| log10    | 0.0496088 |
| silog    | 0.197883  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_79.pth 
| d1       | 0.8132    |
| d2       | 0.901644  |
| d3       | 0.98604   |
| abs_rel  | 0.0956044 |
| sq_rel   | 0.46277   |
| rmse     | 2.72822   |
| rmse_log | 0.208217  |
| log10    | 0.0495547 |
| silog    | 0.197791  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_80.pth 
| d1       | 0.813236  |
| d2       | 0.901646  |
| d3       | 0.98604   |
| abs_rel  | 0.0954655 |
| sq_rel   | 0.462684  |
| rmse     | 2.72814   |
| rmse_log | 0.208174  |
| log10    | 0.049498  |
| silog    | 0.197706  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_81.pth 
| d1       | 0.813276  |
| d2       | 0.901646  |
| d3       | 0.98604   |
| abs_rel  | 0.0953264 |
| sq_rel   | 0.462602  |
| rmse     | 2.72807   |
| rmse_log | 0.208132  |
| log10    | 0.0494403 |
| silog    | 0.197639  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_82.pth 
| d1       | 0.813323  |
| d2       | 0.901646  |
| d3       | 0.98604   |
| abs_rel  | 0.0951928 |
