| network_model                | AuxSparseGuidedDepth                      |
| d1       | 0.997307   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0229333  |
| sq_rel   | 0.0371391  |
| rmse     | 1.13084    |
| rmse_log | 0.0358679  |
| log10    | 0.00995277 |
| silog    | 0.0357335  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_52.pth 
| d1       | 0.997307   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0229162  |
| sq_rel   | 0.0371101  |
| rmse     | 1.13056    |
| rmse_log | 0.0358496  |
| log10    | 0.00994547 |
| silog    | 0.0357162  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_53.pth 
| d1       | 0.997307   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0229085  |
| sq_rel   | 0.0370943  |
| rmse     | 1.13023    |
| rmse_log | 0.0358363  |
| log10    | 0.00994136 |
| silog    | 0.0357074  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_54.pth 
| d1       | 0.997308   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0229065  |
| sq_rel   | 0.0370877  |
| rmse     | 1.12989    |
| rmse_log | 0.0358268  |
| log10    | 0.00993943 |
| silog    | 0.0357028  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_55.pth 
| d1       | 0.997323  |
| d2       | 0.999937  |
| d3       | 1         |
| abs_rel  | 0.022903  |
| sq_rel   | 0.0370756 |
| rmse     | 1.12955   |
| rmse_log | 0.0358169 |
| log10    | 0.0099374 |
| silog    | 0.035695  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_56.pth 
| d1       | 0.997323   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0228923  |
| sq_rel   | 0.0370482  |
| rmse     | 1.12919    |
| rmse_log | 0.0358031  |
| log10    | 0.00993331 |
| silog    | 0.0356791  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_57.pth 
| d1       | 0.997323   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0228766  |
| sq_rel   | 0.0370137  |
| rmse     | 1.12886    |
| rmse_log | 0.0357872  |
| log10    | 0.00992753 |
| silog    | 0.0356585  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_58.pth 
| d1       | 0.997316   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0228619  |
| sq_rel   | 0.0369867  |
| rmse     | 1.1286     |
| rmse_log | 0.0357731  |
| log10    | 0.00992185 |
| silog    | 0.0356404  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_59.pth 
| d1       | 0.997309   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0228516  |
| sq_rel   | 0.0369687  |
| rmse     | 1.12837    |
| rmse_log | 0.0357612  |
| log10    | 0.00991735 |
| silog    | 0.0356279  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_60.pth 
| d1       | 0.997316   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0228465  |
| sq_rel   | 0.036956   |
| rmse     | 1.1281     |
| rmse_log | 0.0357509  |
| log10    | 0.00991446 |
| silog    | 0.0356204  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_61.pth 
| d1       | 0.997323   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0228431  |
| sq_rel   | 0.0369426  |
| rmse     | 1.1278     |
| rmse_log | 0.0357408  |
| log10    | 0.00991225 |
| silog    | 0.035614   |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_62.pth 
| d1       | 0.997331   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0228352  |
| sq_rel   | 0.0369192  |
| rmse     | 1.12746    |
| rmse_log | 0.0357276  |
| log10    | 0.00990867 |
| silog    | 0.0356027  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_63.pth 
| d1       | 0.997331   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0228215  |
| sq_rel   | 0.0368863  |
| rmse     | 1.1271     |
| rmse_log | 0.0357111  |
| log10    | 0.00990326 |
| silog    | 0.0355854  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_64.pth 
| d1       | 0.997325   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0228053  |
| sq_rel   | 0.0368538  |
| rmse     | 1.1268     |
| rmse_log | 0.0356941  |
| log10    | 0.00989701 |
| silog    | 0.0355657  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_65.pth 
| d1       | 0.997325  |
| d2       | 0.999937  |
| d3       | 1         |
| abs_rel  | 0.0227941 |
| sq_rel   | 0.0368338 |
| rmse     | 1.12658   |
| rmse_log | 0.0356815 |
| log10    | 0.0098925 |
| silog    | 0.0355512 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_66.pth 
| d1       | 0.997332   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0227874  |
| sq_rel   | 0.036822   |
| rmse     | 1.12638    |
| rmse_log | 0.0356713  |
| log10    | 0.00988937 |
| silog    | 0.0355414  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_67.pth 
| d1       | 0.997332   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0227837  |
| sq_rel   | 0.0368123  |
| rmse     | 1.12615    |
| rmse_log | 0.0356622  |
| log10    | 0.00988716 |
| silog    | 0.0355344  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_68.pth 
| d1       | 0.997332   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.022777   |
| sq_rel   | 0.0367946  |
| rmse     | 1.12586    |
| rmse_log | 0.0356503  |
| log10    | 0.00988388 |
| silog    | 0.0355245  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_69.pth 
| d1       | 0.997332   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0227637  |
| sq_rel   | 0.0367634  |
| rmse     | 1.1255     |
| rmse_log | 0.0356336  |
| log10    | 0.00987827 |
| silog    | 0.0355082  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_70.pth 
| d1       | 0.997332   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0227468  |
| sq_rel   | 0.0367285  |
| rmse     | 1.12514    |
| rmse_log | 0.035615   |
| log10    | 0.00987138 |
| silog    | 0.0354888  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_71.pth 
| d1       | 0.997332   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0227326  |
| sq_rel   | 0.0367007  |
| rmse     | 1.1248     |
| rmse_log | 0.0355987  |
| log10    | 0.00986534 |
| silog    | 0.0354721  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_72.pth 
| d1       | 0.997338   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0227231  |
| sq_rel   | 0.0366804  |
| rmse     | 1.12448    |
| rmse_log | 0.0355854  |
| log10    | 0.00986097 |
| silog    | 0.0354595  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_73.pth 
| d1       | 0.997345   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.022714   |
| sq_rel   | 0.0366609  |
| rmse     | 1.12416    |
| rmse_log | 0.0355716  |
| log10    | 0.00985654 |
| silog    | 0.0354472  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_74.pth 
| d1       | 0.997345  |
| d2       | 0.999937  |
| d3       | 1         |
| abs_rel  | 0.0227037 |
| sq_rel   | 0.0366395 |
| rmse     | 1.12384   |
| rmse_log | 0.035557  |
| log10    | 0.0098518 |
| silog    | 0.0354337 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_75.pth 
| d1       | 0.997345   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0226903  |
| sq_rel   | 0.0366155  |
| rmse     | 1.12354    |
| rmse_log | 0.035541   |
| log10    | 0.00984605 |
| silog    | 0.0354174  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_76.pth 
| d1       | 0.997345   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0226772  |
| sq_rel   | 0.0365902  |
| rmse     | 1.12325    |
| rmse_log | 0.0355257  |
| log10    | 0.00984067 |
| silog    | 0.0354008  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_77.pth 
| d1       | 0.997345   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0226648  |
| sq_rel   | 0.036564   |
| rmse     | 1.12293    |
| rmse_log | 0.0355107  |
| log10    | 0.00983558 |
| silog    | 0.0353847  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_78.pth 
| d1       | 0.997345   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0226545  |
| sq_rel   | 0.0365437  |
| rmse     | 1.12262    |
| rmse_log | 0.0354973  |
| log10    | 0.00983107 |
| silog    | 0.0353716  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_79.pth 
| d1       | 0.997352   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0226452  |
| sq_rel   | 0.0365248  |
| rmse     | 1.12231    |
| rmse_log | 0.0354839  |
| log10    | 0.00982682 |
| silog    | 0.0353596  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_80.pth 
| d1       | 0.997352   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.022634   |
| sq_rel   | 0.0365041  |
| rmse     | 1.12204    |
| rmse_log | 0.0354694  |
| log10    | 0.00982184 |
| silog    | 0.0353459  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_81.pth 
| d1       | 0.997352   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0226218  |
| sq_rel   | 0.0364823  |
| rmse     | 1.12176    |
| rmse_log | 0.0354547  |
| log10    | 0.00981649 |
| silog    | 0.0353313  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_82.pth 
| d1       | 0.997352   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0226083  |
| sq_rel   | 0.0364582  |
| rmse     | 1.12146    |
| rmse_log | 0.0354396  |
| log10    | 0.00981074 |
| silog    | 0.0353153  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_83.pth 
| d1       | 0.997352   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0225974  |
| sq_rel   | 0.0364337  |
| rmse     | 1.12113    |
| rmse_log | 0.035426   |
| log10    | 0.00980618 |
| silog    | 0.0353005  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_84.pth 
| d1       | 0.997352   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0225873  |
| sq_rel   | 0.0364101  |
| rmse     | 1.12077    |
| rmse_log | 0.0354125  |
| log10    | 0.00980179 |
| silog    | 0.0352869  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_85.pth 
| d1       | 0.997352   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0225776  |
| sq_rel   | 0.0363888  |
